"","source","target","relation"
"1","Cipactli","Tezcatlipoca  (killed by)","submission"
"2","Yacatecuhtli","Xaman Ek (mayan)","submission"
"3","Azcatl","Quetzalcoatl (cooperation)","cooperation"
"4","Huehuecoyotl","Xipe Totec.","cooperation"
"5","Quetzalcoatl ","Azcatl (help)","cooperation"
"6","Tonatiuh","Itztlacoliuhqui (hostility) ","cooperation"
"7","Huitzilopochtli","Uappatzin (servants)","authority"
"8","Mixcoatl","Amimitl (servant)","authority"
"9","Ome Tochtli","Centzon Totochtin (leader)","authority"
"10","Quetzalcoatl ","Cipactli (killed/sacrificed)","authority"
"11","Tezcatlipoca","Cipactli (killed)","authority"
"12","Tlalchi Tonatiuh","Tezcatlipoca.","aspect"
"13","Xiuhtecuhtli","Inta (mayan)","aspect"
"14","Xiuhtecuhtli","Ahkinshok (mayan)","aspect"
"15","Yacatecuhtli","Xaman Ek (mayan)","aspect"
